site,Snail no.,survey,collection date,collected by,dissection date,dissected by ,processed by ,buried? ,length (mm),sex,"parth/ gonad state 1 (r,p,n)","parth/ gonad state 2 (r,p,n)","parth/ gonad state 3 (r,p,n)",early 1? ( y/n),early 2? (y/n),early 3? (y/n),trematode 1,trematode 2,trematode 3,fixed for genetics?,"crab dam (n,s,a)",MCs hima,cata,phil,notes
c2,33,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",b,22.3,f,n,,,,,,u,,,,,,,,
c2,34,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",b,25,f,n,,,,,,u,,,,,,,,
c2,35,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",b,24.2,f,n,,,,,,u,,,,n,0,0,0,
c2,36,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",b,22.8,f,n,,,,,,u,,,,,,,,
c2,37,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",b,25.1,f,p,,,,,,euha,,,,,,,,
c2,38,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",b,25.1,f,n,,,,,,u,,,,,,,,
c2,39,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"AW, TS",b,24.8,f,r,,,,,,paro,,,,,,,,
c2,40,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",b,21.9,m,n,,,,,,u,,,,n,1,0,0,+ 2 MC scars
c2,41,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"AW, TS",b,22.7,m,r,,,,,,u,,,,,,,,
c2,42,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"AW, TS",b,21.2,f,n,,,,,,u,,,,,,,,
c2,43,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"AW, TS",b,22.5,m,r,,,,,,euha,,,,n,0,0,0,
c2,44,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"AW, TS",e,25.7,m,r,,,,,,u,,,,n,0,0,0,+4 scars
c2,45,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"AW, TS",e,23.8,f,n,,,,,,u,,,,,,,,
c2,46,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"AW, TS",e,25.1,f,r,,,,,,euha,,,,,,,,
c2,47,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",e,28.3,f,n,,,,,,euha,,,,,,,,v. few cercariae ~2
c2,48,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",e,23.5,f,n,,,,,,u,,,,,,,,
c2,49,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",e,23.9,f,r,,,,,,hima,,,,,,,,
c2,50,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",e,21,f,r,,,,,,cata,,,,,,,,
c2,51,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",e,24.5,f,p,,,,,,euha,,,,,,,,
c2,52,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"AW, TS",e,23.8,f,r,,,,,,himb,,,,n,1,0,0,
c3,1,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,23.7,f,r,,,,,,u,,,,n,,,,
c3,2,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,24.8,m,r,,,,,,euha,,,,,,,,
c3,3,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,25.8,f,n,,,,,,u,,,,a,0,0,0,
c3,4,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW/RH,"RH, TS, AW",b,24.2,f,p,,,,,,renb,,,,n,1,0,0,
c3,5,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,24,f,n,,,,,,u,,,,,,,,
c3,6,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,18.6,f,n,,,,,,u,,,,,,,,
c3,7,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,19.7,f,n,,,,,,u,,,,,,,,
