site,Snail no.,survey,collection date,collected by,dissection date,dissected by ,processed by ,buried? ,length (mm),sex,"parth/ gonad state 1 (r,p,n)","parth/ gonad state 2 (r,p,n)","parth/ gonad state 3 (r,p,n)",early 1? ( y/n),early 2? (y/n),early 3? (y/n),trematode 1,trematode 2,trematode 3,fixed for genetics?,"crab dam (n,s,a)",MCs hima,cata,phil,notes
f4,5,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,32.3,f,r,,,,,,himb,,,,,,,,
f4,6,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,27.9,m,r,,,,,,u,,,,,,,,
f4,7,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,30.7,f,r,,,,,,himb,,,,,,,,
f4,8,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,24.3,m,n,,,,,,u,,,,a,0,0,0,
f4,9,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28,m,r,,,,,,hima,,,,,,,,
f4,10,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26.2,m,r,,,,,,u,,,,,,,,
f4,11,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,25,m,r,,,,,,u,,,,,,,,
f4,12,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,25.9,m,n,,,,,,u,,,,,,,,
f4,13,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,29.1,f,p,,,,,,euha,,,,,,,,
f4,14,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,30.4,f,n,,,,,,u,,,,,,,,
f4,15,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,32.8,f,r,,,,,,himb,,,,,,,,
f4,16,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.1,f,r,,,,,,himb,,,,,,,,
f4,17,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,33.9,f,p,,,y,,,euha,,,,,,,,mother sporocyst present
f4,18,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,33,m,r,,,,,,himb,,,,,,,,
f4,19,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,29.5,f,r,,,,,,u,,,,n,0,0,0,
f4,20,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,31,f,r,,,,,,euha,,,,,,,,
f4,21,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,32.6,f,n,,,,,,himb,,,,n,0,0,0,
f4,22,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,31,m,r,,,,,,smcy,,,,n,0,0,0,
f4,23,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,31.7,f,r,,,,,,euha,,,,n,4,0,0,
f4,24,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,29,f,r,,,,,,euha,,,,,,,,
f4,25,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28,f,r,,,,,,u,,,,,,,,
f4,26,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,30.5,m,r,,,,,,euha,,,,,,,,
f4,27,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,32,m,r,,,,,,acan,,,,,,,,
f4,28,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26,m,r,,,,,,u,,,,n,0,0,0,
f4,29,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.9,f,p,,,,,,euha,,,,,,,,
f4,30,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,32.2,m,r,,,,,,euha,,,,,,,,
f4,31,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,27.8,f,r,,,,,,u,,,,,,,,
f4,32,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.8,m,r,,,,,,cata,,,,n,0,0,0,
f4,33,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,29.3,m,p,,,,,,euha,,,,,,,,
f4,34,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26.8,m,n,,,,,,u,,,,,,,,
f4,35,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,27.9,m,r,,,,,,u,,,,,,,,
f4,36,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,31,m,r,,,,,,euha,,,,,,,,
f4,37,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.9,f,r,,,,,,smcy,,,,,,,,
f4,38,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26.9,m,r,,,,,,u,,,,,,,,
f4,39,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,27,m,r,,,,,,u,,,,,,,,
f4,40,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,27,m,n,,,,,,u,,,,,,,,
f4,41,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,29.2,m,n,,,y,,,himb,,,,a,0,0,0,rediae in heart
f4,42,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,29.7,m,r,,,,,,himb,,,,,,,,
f4,43,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,25,m,r,,,,,,u,,,,n,0,0,0,
f4,44,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26.6,f,r,,,,,,u,,,,,,,,
f4,45,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,27.1,m,r,,,,,,u,,,,,,,,
f4,46,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,27.8,f,p,,,,,,euha,,,,,,,,
f4,47,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,30.8,m,r,,,,,,himb,,,,,,,,
f4,48,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,30.9,f,r,,,,,,paro,,,,,,,,
f4,49,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.2,f,r,,,,,,himb,,,,,,,,
f4,50,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.8,m,r,,,,,,u,,,,,,,,
f4,51,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,32.8,f,r,,,,,,himb,,,,n,0,0,0,1 hima scar
f4,52,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,27.5,f,n,,,,,,hima,,,,,,,,
f4,53,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,29.8,m,r,,,,,,himb,,,,,,,,
f4,54,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,30,f,r,,,,,,stic,,,,,,,,
f4,55,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,29.4,f,r,,,,,,euha,,,,,,,,
f4,56,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,32.1,f,r,,,,,,euha,,,,,,,,
f4,57,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26.6,m,r,,,,,,u,,,,,,,,
f4,58,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.8,f,r,,,,,,hima,,,,,,,,
f5,1,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",b,31,f,r,,,,,,himb,,,,n,14,0,0,3 hima scars
f5,2,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",b,28.8,f,r,,,,,,himb,,,,,,,,rediae in heart
f5,3,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,29.5,m,r,,,,,,himb,,,,,,,,
f5,4,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26.7,m,r,,,,,,u,,,,,,,,
f5,5,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26,m,r,,,,,,u,,,,,,,,
f5,6,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28,m,r,,,,,,u,,,,,,,,
f5,7,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,25.3,f,r,,,,,,euha,,,,,,,,
f5,8,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,31,f,p,,,,,,euha,,,,,,,,mother sporocysts present
f5,9,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,24.4,f,r,,,,,,u,,,,,,,,
f5,10,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,25.9,f,r,,,,,,euha,,,,,,,,
f5,11,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,29.6,f,r,,,,,,euha,,,,,,,,
f5,12,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,29.3,f,r,,,,,,euha,,,,,,,,
f5,13,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26,f,n,,,,,,u,,,,,,,,
f5,14,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,31,f,n,,,,,,u,,,,,,,,
f5,15,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.8,f,r,,,,,,u,,,,,,,,
f5,16,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,24.9,f,n,,,,,,u,,,,,,,,
f5,17,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,25.8,m,p,,,,,,euha,,,,,,,,
f5,18,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.2,m,r,,,,,,euha,,,,,,,,
f5,19,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,24.3,m,r,,,,,,u,,,,,,,,
f5,20,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,27,f,n,,,,,,u,,,,,,,,
f5,21,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,25.9,f,n,,,,,,u,,,,,,,,
f5,22,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,27.8,f,n,,,,,,u,,,,n,0,0,0,1 hima scar
f5,23,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,29.6,f,n,,,y,,,imht,,,y,n,1,0,0,
f5,24,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,27.9,m,r,,,,,,u,,,,,,,,
f5,25,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,11.4,m,n,,,,,,u,,,,,,,,himb mc in bvm
f5,26,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,26.8,m,r,,,,,,u,,,,,,,,
f5,27,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,28,f,r,,,,,,u,,,,,,,,
f5,28,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,30,f,r,,,,,,himb,,,,n,4,0,0,
f5,29,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,25,m,p,,,,,,euha,,,,,,,,
f5,30,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,23.1,m,r,,,,,,u,,,,,,,,
f5,31,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,25.7,f,n,,,,,,u,,,,,,,,
f5,32,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26.1,f,n,,,,,,u,,,,,,,,
f5,33,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26.8,m,n,,,,,,hima,,,,,,,,
f5,34,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,22.5,m,r,,,,,,u,,,,a,0,0,0,
f5,35,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,25.3,m,r,,,,,,u,,,,,,,,
f5,36,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.8,f,p,,,,,,prob,,,,n,4,0,0,4 hima scars
f5,37,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26,f,r,,,,,,euha,,,,n,0,0,0,
f5,38,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,24.6,m,r,,,,,,u,,,,,,,,
f5,39,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.3,f,r,,,,,,euha,,,,n,0,0,0,
f5,40,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,25.6,f,p,,,,,,euha,,,,,,,,
f5,41,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,23.9,m,r,,,,,,u,,,,n,0,0,0,
f5,42,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,27.7,f,r,,,,,,himb,,,,n,0,0,0,2 hima scars
f5,43,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,29,m,r,,,,,,stic,,,,,,,,
f5,44,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,27.5,f,p,,,,,,himb,,,,,,,,
f5,45,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,24.1,f,n,,,,,,u,,,,,,,,
f5,46,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,23.8,m,r,,,,,,u,,,,,,,,
f5,47,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,27.8,m,r,,,,,,euha,,,,,,,,
f5,48,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,26.2,m,r,,,,,,u,,,,,,,,
f5,49,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,24.2,m,n,,,,,,euha,,,,,,,,
f5,50,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,JA,"TS, JA",e,31,f,p,,,,,,cata,,,,,,,,
f5,51,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,22.9,f,n,,,,,,u,,,,,,,,
f5,52,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26.2,m,r,,,,,,stic,,,,,,,,
f5,53,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26.3,f,n,,,,,,u,,,,,,,,
f5,54,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,11.5,f,n,,,,,,u,,,,,,,,
f5,55,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,22.3,m,n,,,,,,u,,,,,,,,
f5,56,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,11,f,n,,,,,,u,,,,,,,,
f5,57,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,26.5,m,r,,,,,,euha,,,,,,,,
f5,58,12-Jul,9-Jul-12,"TS, AW",11-Jul-12,TS,"TS, JA",e,28.1,m,r,,,,,,u,,,,,,,,
c2,1,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,28.8,m,r,,,,,,meso,,,,n,1,0,0,(u)
c2,2,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,25.9,f,n,,,,,,u,,,,,,,,(u)
c2,3,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,22.5,f,r,,,,,,renb,,,,,,,,"(u), solitary"
c2,4,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,30.7,m,r,,,,,,himb,,,,,,,,(u)
c2,5,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,24.6,m,r,,,,,,u,,,,,,,,(u)
c2,6,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,24.7,f,n,,,,,,u,,,,,,,,(u)
c2,7,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,23,m,r,,,,,,u,,,,,,,,(u)
c2,8,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,23.4,m,r,,,,,,u,,,,,,,,(u)
c2,9,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,30.8,m,r,,,,,,himb,,,,,,,,(u)
c2,10,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,24,f,n,,,,,,u,,,,,,,,(u)
c2,11,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,22.3,f,r,,,,,,u,,,,,,,,(u)
c2,12,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,26.2,m,r,,,,,,u,,,,n,2,0,0,(u)
c2,13,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,24.9,f,r,,,,,,u,,,,,,,,(u)
c2,14,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,28.7,f,n,,,,,,euha,,,,,,,,(u)
c2,15,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,24,m,r,,,,,,u,,,,,,,,(u)
c2,16,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,28.9,f,r,,,,,,renb,,,,,,,,"(u), rat king"
c2,17,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,24.2,f,n,,,,,,u,,,,n,3,0,0,(u)
c2,18,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,27.5,f,n,,,,,,himb,,,,,,,,(u)
c2,19,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,23.3,m,r,,,,,,u,,,,,,,,(u)
c2,20,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,24.5,m,r,,,,,,u,,,,n,4,0,0,(u)
c2,21,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,27.6,m,r,,,,,,u,,,,n,0,0,0,(u)
c2,22,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,30,m,r,,,,,,himb,,,,s,0,0,0,(u)
c2,23,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,21.7,m,p,p,,,,,himb,rema,,,,,,,"(u), infection about 50/50"
c2,24,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,25.7,m,r,,,,,,u,,,,n,1,2,2,"(u), 1 hima scar"
c2,25,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,22.7,m,r,,,,,,u,,,,,,,,(u)
c2,26,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,29.9,m,r,,,,,,repo,,,,,,,,(u)
c2,27,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,24.8,m,r,,,,,,u,,,,,,,,(u)
c2,28,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,26,m,r,,,,,,u,,,,,,,,(u)
c2,29,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,26.5,m,r,,,,,,himb,,,,a,2,0,0,"(u), 2 hima scars"
c2,30,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,27.2,m,r,,,,,,u,,,,,,,,(u)
c2,31,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,26.8,f,n,,,,,,u,,,,,,,,(u)
c2,32,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,29.8,m,r,,,,,,himb,,,,,,,,(u)
c2,33,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",b,24.1,m,r,,,,,,u,,,,,,,,(u)
c2,34,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",b,27.5,m,r,,,,,,himb,,,,,,,,(u)
c2,35,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",b,20,m,p,,,,,,euha,,,,,,,,(i)
c2,36,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,29.2,f,r,,,,,,euha,,,,,,,,(i)
c2,37,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,30.1,f,r,,,,,,euha,,,,,,,,(i)
c2,38,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,24.4,f,p,,,,,,euha,,,,,,,,(i)
c2,39,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,23.9,f,p,,,,,,euha,,,,,,,,(i)
c2,40,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,27.9,f,p,,,,,,euha,,,,,,,,(i)
c2,41,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,29.8,f,r,,,,,,euha,,,,s,0,0,0,(i)
c2,42,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,26.7,m,r,,,,,,euha,,,,,,,,(i)
c2,43,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,23.4,m,r,,,,,,euha,,,,,,,,(i)
c2,44,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,30,f,r,,,,,,euha,,,,,,,,(i)
c2,45,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,25.6,f,r,,,,,,euha,,,,,,,,(i)
c2,46,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,26.2,f,p,p,,,,,aust,euha,,,,,,,"(i), 70% aust 30% euha"
c2,47,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,29.7,f,r,,,,,,euha,,,,,,,,(i)
c2,48,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,30.1,f,r,,,,,,euha,,,,,,,,(i)
c2,49,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,28.1,f,p,,,,,,euha,,,,,,,,(i)
c2,50,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,AW,"TS, AW, Paola",e,27.5,m,r,,,,,,euha,,,,n,2,0,0,"(i), 1 phil scar"
c2,51,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,27.7,f,n,,,,,,hima,,,,,,,,
c2,52,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,25.2,f,p,,,,,,euha,,,,,,,,
c2,53,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,23.4,f,n,,,,,,u,,,,,,,,
c2,54,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,23,f,n,,,,,,prob,,,,,,,,
c2,55,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,26,m,r,,,,,,euha,,,,,,,,
c2,56,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",e,27.1,f,r,,,,,,u,,,,,,,,
c2,57,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",b,25.5,m,p,,,,,,himb,,,,,,,,
c2,58,12-Aug,16-Aug-12,"TS, AW, JA",21-Aug-12,TS,"TS, AW, Paola",b,27.2,m,p,p,,,,,himb,rema,,,,,,,30% himb 70% lgxib
c3,1,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,AW,"TS, AW, Crystal",e,26.8,f,p,,,,,,euha,,,,,,,,
c3,2,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,AW,"TS, AW, Crystal",e,25.8,m,p,,,,,,euha,,,,,,,,
c3,3,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,AW,"TS, AW, Crystal",e,19.3,f,n,,,,,,u,,,,,,,,
c3,4,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,AW,"TS, AW, Crystal",e,23.3,f,n,,,,,,u,,,,,,,,
c3,5,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,AW,"TS, AW, Crystal",e,25,f,p,,,,,,euha,,,,n,0,0,0,"2 hima scars, residual mother sporocysts"
c3,6,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,AW,"TS, AW, Crystal",b,22.9,m,r,,,,,,u,,,,a,0,0,0,
c3,7,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,AW,"TS, AW, Crystal",b,20.8,f,p,,,,,,euha,,,,,,,,residual mother sporocysts
c3,8,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,AW,"TS, AW, Crystal",b,21.7,m,r,,,,,,u,,,,,,,,
c3,9,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,AW,"TS, AW, Crystal",b,21.2,f,n,,,,,,u,,,,,,,,
c3,10,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,AW,"TS, AW, Crystal",b,25.9,m,r,,,,,,pygi,,,,,,,,
c3,11,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,TS,"TS, AW, Crystal",e,23.2,m,r,,,,,,u,,,,,,,,
c3,12,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,TS,"TS, AW, Crystal",e,22.4,m,n,,,,,,u,,,,a,0,0,0,
c3,13,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,TS,"TS, AW, Crystal",e,26,f,r,,,,,,u,,,,,,,,
c3,14,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,TS,"TS, AW, Crystal",e,26.6,m,r,,,,,,u,,,,n,0,0,0,
c3,15,12-Aug,16-Aug-12,"TS, AW, JA",17-Aug-12,TS,"TS, AW, Crystal",e,28.5,f,n,,,,,,u,,,,,,,,
