interaction_strength,cf_ratio,priority_effects,strains,proportion_sampled,false_negative,disease_mortality,transmission,latency,recovery,sim,total_competition,total_facilitation,mean_epidemic_duration
0.2583258325832583,0.23732373237323734,true,20,0.27642764276427645,0.21027102710271028,0.15391539153915393,0.08937893789378938,9.643964396439644,0.09455945594559456,1,38.30826223752011,12.828593055439857,12.5
0.027252725272527253,0.41614161416141615,true,16,0.22152215221522153,0.09790979097909791,0.0612061206120612,0.004220422042204221,4.028902890289029,0.05416541654165417,2,1.8342001134872978,1.3983270114126294,11.5
0.30993099309930994,0.35715571557155723,true,16,0.0177017701770177,0.26812681268126815,0.07045704570457045,0.0024902490249024906,2.4574457445744575,0.08885888588858885,3,23.490423922027993,15.032505574437451,14.6875
0.18396839683968397,0.7064506450645065,true,26,0.37523752375237523,0.2834283428342834,0.16756675667566756,0.0034603460346034603,18.833283328332833,0.022832283228322835,4,16.841106354716043,43.27440687232361,6.153846153846154
0.04755475547554756,0.338973897389739,true,10,0.9103910391039104,0.19286928692869287,0.3742874287428743,0.03907390739073908,10.850585058505851,0.05064506450645065,5,1.5004042313082344,0.656292600092357,20.3
0.14491449144914492,0.7476747674767477,true,11,0.43844384438443845,0.4653965396539654,0.4230923092309231,0.05510551055105511,17.755875587558755,0.07889788978897891,6,2.238370998983988,6.233777008304101,17.545454545454547
0.44694469446944696,0.7816981698169818,true,10,0.1109110911091109,0.14616461646164616,0.3768876887688769,0.031493149314931496,14.046704670467047,0.08351835183518352,7,5.287809144398968,15.01613041312863,19.1
0.3126312631263126,0.7806780678067808,true,10,0.9234923492349235,0.3976897689768977,0.07325732573257326,0.021782178217821784,9.57935793579358,0.07765776577657765,8,3.2097520202663987,10.744304283282123,22.0
0.37533753375337536,0.28034803480348036,true,49,0.5706570657065707,0.11836183618361837,0.3347334733473347,0.014871487148714873,3.9376937693769376,0.053395339533953395,9,315.8707216373977,121.12703780530717,4.26530612244898
0.17521752175217523,0.7236123612361236,true,26,0.8334833483348335,0.09255925592559255,0.4341934193419342,0.024702470247024703,18.990999099909992,0.005000500050005001,10,16.611209968523603,40.94801767909257,6.0
