id,interaction_strength,priority_effects,cf_ratio,strains,sample_prop,richness_count
1,0.0645987444265047,TRUE,0.27906705253880937,31,0.9742637138481022,7
2,0.5129468906311202,FALSE,0.45133216657557057,157,0.980547630229417,8
3,0.4538328808367019,FALSE,0.9372867544595851,138,0.9855697584768166,7
4,0.04882007687019067,FALSE,0.7253445719944779,165,0.5261810475396596,125
5,0.5466596078507427,FALSE,0.8938858885047026,31,0.5152870716707225,11
6,0.4738219027479412,FALSE,0.46067051737678705,185,0.4291297892645395,71
7,0.34856754752376584,TRUE,0.5340462250169832,69,0.9360964411693256,33
8,0.05444148663380183,TRUE,0.30742043408649045,135,0.9158770901152785,135
9,0.4309563883785449,TRUE,0.27122439686446453,39,0.3124409666634188,1
10,0.11260695222455543,TRUE,0.29201909303178547,131,0.22867063629764156,4
11,0.6186872302449192,FALSE,0.16714668883970007,178,0.477236142519129,138
12,0.7451842772834643,FALSE,0.6994987122166901,105,0.19345229850568532,18
13,0.061790541555709205,FALSE,0.07681239516185596,161,0.9840407738899265,12
14,0.5086878329654981,FALSE,0.3160533109204844,20,0.22327600039678183,12
15,0.4156888237604115,TRUE,0.0609030112239765,182,0.8753540405873173,0
16,0.7383598580496619,TRUE,0.512608083613473,155,0.5230222538564846,2
17,0.09227728819997864,FALSE,0.040472084591491146,110,0.3253436233955964,103
18,0.0802856514668616,FALSE,0.7718986906576669,110,0.847762322671671,44
19,0.4794708205039962,TRUE,0.3718377681538463,36,0.6120478078802627,0
20,0.14695759777584463,TRUE,0.8473389589734841,174,0.6778136131159018,42
21,0.670336790070904,FALSE,0.5520404681852087,125,0.20394928440776772,38
22,0.45221467715171165,FALSE,0.5124915599592962,79,0.6879091717213539,59
23,0.0441646449726366,TRUE,0.9654187964591896,54,0.8662541258843078,44
24,0.5463394488628255,FALSE,0.9890925962124486,152,0.8916336911204469,10
25,0.00961583696292364,FALSE,0.6462629608015297,176,0.4158756862149318,174
26,0.518480494052876,TRUE,0.7344490078616189,86,0.25714693854208986,25
27,0.5142858139103685,FALSE,0.07085451166597195,32,0.9431549901434382,32
28,0.18752592412139057,TRUE,0.2232853039380163,119,0.6071429068463992,119
29,0.3717604240421788,TRUE,0.8963712990427157,95,0.7749005054388163,0
30,0.42642444275927843,TRUE,0.42897685186397283,128,0.5770404322334256,70
31,0.2566949358519749,FALSE,0.6688457005197183,142,0.3218162616198617,6
32,0.5786084392231016,TRUE,0.34474038335620427,91,0.9925729800282882,77
33,0.6483867290483205,TRUE,0.4032537717411295,128,0.765549971613239,11
34,0.2649265601525316,TRUE,0.11005959032017272,72,0.7493238720850635,7
35,0.4294626755798003,FALSE,0.024451040493603797,126,0.04186061587752891,104
36,0.5348029439396574,FALSE,0.44703687774273565,195,0.25941692707455904,110
37,0.1723645370361046,FALSE,0.32148359486751726,140,0.1907724999491987,139
38,0.2695051088353561,TRUE,0.18109130441441668,27,0.9125532806336961,27
39,0.7363170689472696,TRUE,0.566865299174143,127,0.9194710746151209,28
40,0.31263467757716423,TRUE,0.20238949528953526,154,0.7383383139257017,0
41,0.5205106603023887,FALSE,0.08830417422226164,114,0.7416638281170768,103
42,0.19723148897184872,TRUE,0.3583772300004028,92,0.7626929984025994,92
43,0.21640655287997218,FALSE,0.3136943479455542,182,0.06304521587085025,182
44,0.6238859667674115,FALSE,0.8984934644085122,27,0.28661710354431347,13
45,0.3556724668329174,FALSE,0.8506070233319886,31,0.8672762467787892,12
46,0.14178101665225695,FALSE,0.0945477449629223,67,0.08436597458800044,67
47,0.2845980657650507,TRUE,0.09582940871203319,25,0.40397448883676806,1
48,0.5053711567816674,FALSE,0.3880855085763615,159,0.6861884817976741,85
49,0.2825242453833693,FALSE,0.13683570543660317,83,0.16667719028967434,83
50,0.25086592875287167,FALSE,0.42818570605563,147,0.9524152595876436,142
51,0.6283357779068872,FALSE,0.2980021511340514,135,0.9514254774165475,0
52,0.7204169209119107,FALSE,0.3039190799870994,110,0.9817771902851258,101
53,0.658510193743062,TRUE,0.40408752478100357,61,0.5958207918942487,47
54,0.10790761670366045,FALSE,0.06512617037305608,101,0.6149643881246071,8
55,0.37079775567152534,FALSE,0.12646943781545852,59,0.9886392205357396,59
56,0.03127274926602258,TRUE,0.705576422375138,46,0.4762442438703401,46
57,0.6694994944222213,FALSE,0.6209739988700952,122,0.49638297265292985,23
58,0.016715692441596184,FALSE,0.14235001476034523,155,0.49843999660525495,155
59,0.2590613179801789,FALSE,0.6572106391089503,163,0.4042878323033992,17
60,0.12690703160521807,TRUE,0.8247993745860178,166,0.6823362104449668,0
61,0.4329034873216704,TRUE,0.7137305017897161,31,0.7789348505975341,17
62,0.1054450001342164,TRUE,0.4678823308786843,91,0.586999379468343,91
63,0.01635660324005876,TRUE,0.26498294671643524,88,0.6669463592143059,88
64,0.045732900307362434,FALSE,0.20670443027943838,86,0.915146411596209,34
65,0.7469817754011426,TRUE,0.7806095076020342,59,0.8525017217229074,0
66,0.6821675716615865,FALSE,0.9477854902934749,152,0.3225136241867575,3
67,0.3078439298062935,FALSE,0.3911888271119911,20,0.15969668422979186,16
68,0.24260453793924536,TRUE,0.334969993871497,159,0.5800955551232242,159
69,0.68679473618794,TRUE,0.7492165360661224,61,0.07138721816224977,4
70,0.5800576945746958,FALSE,0.4999275309953606,117,0.49851364317463853,1
71,0.7184594724725,FALSE,0.3739095859140623,193,0.13072272982925479,133
72,0.38589208514699713,TRUE,0.37987104046428577,19,0.015604817047541263,1
73,0.6356753904155921,TRUE,0.36392634100788274,114,0.9620149540337252,62
74,0.632852996341564,FALSE,0.1420454477595631,159,0.8082302300044126,89
75,0.3855433723299123,TRUE,0.8205535447125323,34,0.20528069411074068,0
76,0.6030448528563255,TRUE,0.018588016963610426,115,0.647289727116994,77
77,0.17868335260485183,TRUE,0.5490689381008502,69,0.3070883225417694,0
78,0.5270437308084801,FALSE,0.4695609422524227,94,0.9863450239667506,67
79,0.024791926962998694,TRUE,0.4741164033453213,89,0.9509195274033407,42
80,0.6771656564296049,TRUE,0.2992966800787486,22,0.7950221649141405,20
81,0.6953769263717754,FALSE,0.0859778405385092,196,0.8084511335280989,192
82,0.30082094744262866,TRUE,0.9337274549363647,148,0.9543408103963564,1
83,0.09819970112807933,TRUE,0.7785521490693093,181,0.2884995300838857,0
84,0.5933617597849283,FALSE,0.6685626689202618,47,0.7648828065803411,3
85,0.16665865601433325,TRUE,0.20768177500474266,104,0.39684021584840706,104
86,0.6010865861281345,FALSE,0.2766393248843262,55,0.5817703214692821,54
87,0.20447189269214286,FALSE,0.5266805920949904,127,0.5406706612428336,0
88,0.053237318246526416,TRUE,0.24135660889693536,73,0.22776145189809358,73
89,0.6133871789588942,TRUE,0.3702060800707899,131,0.4201393687222046,110
90,0.620379518638202,FALSE,0.02222015464748256,93,0.049275596452230355,65
91,0.22140872634695258,FALSE,0.3301409181294264,197,0.7099663077957304,197
92,0.196459295314044,TRUE,0.5371293656833702,59,0.47815481461122633,40
